host_response_time,host_listings_count,host_has_profile_pic,neighbourhood,property_type,room_type,accommodates,square_feet,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,amenities_count,amenities_premium_count,professionalism
within an hour,38.0,t,Sants-Montjuïc,Apartment,Entire home/apt,6,,137,1,225,30,95.0,27,2,0.8500000000000001
within an hour,3.0,t,Gràcia,Apartment,Private room,2,,37,5,78,1,100.0,15,1,0.55
within an hour,2.0,t,Eixample,Barn,Private room,1,,35,6,38,1,,15,2,0.45
within an hour,37.0,t,Ciutat Vella,Serviced apartment,Entire home/apt,4,,155,32,270,0,,40,2,0.8500000000000001
within an hour,2.0,t,Eixample,Apartment,Private room,1,,25,2,67,80,98.0,12,1,0.55
within an hour,8.0,t,Ciutat Vella,Apartment,Private room,2,,20,5,56,0,,18,1,0.6
within an hour,19.0,t,Eixample,Condominium,Entire home/apt,10,,300,3,316,19,92.0,20,3,0.95
within a few hours,6.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,120,32,175,0,,12,2,0.6375
within an hour,9.0,t,Eixample,Apartment,Entire home/apt,2,,60,2,228,366,95.0,21,0,0.8
within an hour,3.0,t,Les Corts,Apartment,Private room,2,,63,2,0,48,98.0,29,5,0.45
,1.0,t,Sant Martí,Apartment,Private room,2,,17,2,0,34,94.0,35,6,0.15000000000000002
within an hour,1.0,t,Eixample,Apartment,Private room,2,,35,3,166,22,95.0,21,1,0.6
within an hour,1.0,t,Les Corts,Apartment,Entire home/apt,5,,62,32,338,0,,12,1,0.8
within an hour,41.0,t,Eixample,Apartment,Entire home/apt,6,,100,3,195,48,90.0,14,0,0.75
within an hour,1.0,t,Eixample,Apartment,Private room,2,,70,3,308,22,95.0,25,2,0.8
,1.0,t,Gràcia,Apartment,Private room,1,,200,1,364,0,,9,1,0.55
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,2,,34,1,44,64,94.0,30,5,0.45
within a few hours,2.0,t,Sarrià-Sant Gervasi,Loft,Private room,2,,80,3,80,33,88.0,18,3,0.48750000000000004
within a day,5.0,t,Eixample,Condominium,Private room,2,,40,1,358,3,100.0,13,3,0.725
within an hour,14.0,t,Eixample,Hotel,Private room,2,,6000,1,345,6,87.0,12,4,0.95
within a day,29.0,t,Eixample,Apartment,Entire home/apt,4,,57,31,277,2,20.0,15,0,0.7250000000000001
,1.0,t,Horta-Guinardó,Apartment,Private room,2,,55,1,0,1,100.0,24,3,0.15000000000000002
within an hour,12.0,t,Ciutat Vella,Apartment,Entire home/apt,6,,61,32,207,3,60.0,30,1,0.8500000000000001
,1.0,t,Gràcia,Apartment,Private room,2,,39,4,0,0,,11,3,0.15000000000000002
within an hour,6.0,t,Eixample,Apartment,Entire home/apt,6,,109,2,64,2,100.0,24,2,0.6
within an hour,20.0,t,Eixample,Apartment,Entire home/apt,5,,112,2,351,12,70.0,26,0,0.95
a few days or more,4.0,t,Sants-Montjuïc,Apartment,Private room,4,,90,30,345,0,,25,3,0.6625
,1.0,t,Sant Martí,Apartment,Private room,1,,40,30,365,1,100.0,35,14,0.55
a few days or more,1.0,t,Sarrià-Sant Gervasi,Hostel,Private room,2,,130,1,362,0,,23,5,0.6125
within an hour,19.0,t,Eixample,Apartment,Private room,2,,15,1,119,9,87.0,11,1,0.75
,1.0,t,Ciutat Vella,Apartment,Private room,1,,21,14,0,17,93.0,11,2,0.15000000000000002
within a day,1.0,t,Gràcia,Condominium,Entire home/apt,2,,40,60,105,62,94.0,29,3,0.475
within an hour,2.0,t,Sant Martí,Apartment,Entire home/apt,5,,130,2,25,4,87.0,36,11,0.45
within a day,91.0,t,Sant Martí,Apartment,Private room,1,,31,32,361,0,,22,2,0.875
within an hour,206.0,t,Eixample,Apartment,Entire home/apt,6,,350,2,339,8,85.0,25,3,1.0
within an hour,37.0,t,Gràcia,Apartment,Entire home/apt,2,,32,86,70,2,90.0,20,2,0.65
within an hour,13.0,t,Eixample,Apartment,Private room,1,,36,30,97,0,,40,13,0.65
within an hour,1.0,t,Sant Martí,Apartment,Private room,2,,50,1,190,40,99.0,28,1,0.6
within a day,2.0,t,Sant Martí,Apartment,Private room,3,,30,1,38,7,92.0,22,3,0.325
a few days or more,1.0,t,Sant Martí,Bed and breakfast,Private room,1,,162,1,365,0,,5,3,0.6125
within an hour,8.0,t,Ciutat Vella,Apartment,Private room,3,,75,1,48,2,90.0,13,1,0.5
,2.0,t,Sants-Montjuïc,Apartment,Private room,1,,19,32,338,0,,9,1,0.6
within an hour,4.0,t,Sarrià-Sant Gervasi,House,Private room,2,,45,30,153,0,,16,2,0.65
within a few hours,1.0,t,Les Corts,Apartment,Entire home/apt,4,,25,31,356,8,90.0,31,1,0.7375
,2.0,t,Ciutat Vella,Apartment,Private room,2,,39,1,0,2,100.0,11,1,0.2
,0.0,t,Ciutat Vella,Apartment,Private room,2,,60,1,70,0,,9,1,0.2
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,34,2,14,251,82.0,26,4,0.4
within a few hours,2.0,t,Sant Martí,Apartment,Entire home/apt,6,,110,31,175,0,,13,1,0.5875
within an hour,20.0,t,Eixample,Apartment,Entire home/apt,6,,90,1,128,85,95.0,45,6,0.75
within an hour,3.0,t,Gràcia,Apartment,Private room,2,,31,1,326,12,86.0,15,3,0.85
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,64,2,83,41,91.0,22,2,0.55
within a day,2.0,t,Horta-Guinardó,Apartment,Private room,1,,25,6,172,9,88.0,3,2,0.525
within a few hours,101.0,t,Eixample,Apartment,Entire home/apt,4,,150,3,190,4,35.0,21,1,0.7375
within an hour,2.0,t,Sant Martí,House,Private room,1,,35,2,82,5,96.0,27,4,0.55
within a few hours,1.0,t,Ciutat Vella,Apartment,Private room,2,,35,2,190,103,93.0,12,0,0.5375
within a few hours,1.0,t,Gràcia,Apartment,Private room,2,,49,2,111,51,96.0,15,2,0.5375
within an hour,38.0,t,Eixample,Apartment,Entire home/apt,6,,216,1,341,23,95.0,24,3,0.95
within an hour,0.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,54,1,60,0,,27,3,0.45
within an hour,116.0,t,Eixample,Apartment,Entire home/apt,6,,155,1,146,0,,22,1,0.8
within an hour,1.0,t,Eixample,Apartment,Private room,2,,96,2,362,3,100.0,26,4,0.8
within an hour,2.0,t,Eixample,Apartment,Private room,2,,20,2,317,36,87.0,14,0,0.85
within an hour,1.0,t,Horta-Guinardó,Apartment,Private room,2,,25,1,362,44,82.0,11,1,0.8
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,55,1,178,0,,27,1,0.65
,3.0,t,Sant Martí,Apartment,Private room,2,,19,2,0,1,80.0,10,1,0.2
within an hour,5.0,t,Sants-Montjuïc,Apartment,Private room,2,,30,1,262,119,76.0,20,1,0.75
within an hour,2.0,t,Horta-Guinardó,Apartment,Private room,2,,55,1,75,6,97.0,25,3,0.55
within an hour,12.0,t,Eixample,Boutique hotel,Private room,2,,121,1,333,22,96.0,33,8,0.95
within an hour,1.0,t,Ciutat Vella,Guest suite,Entire home/apt,2,,75,3,93,4,100.0,13,1,0.5
within an hour,106.0,t,Gràcia,Apartment,Entire home/apt,4,,135,2,316,10,94.0,18,1,1.0
,1.0,t,Sant Martí,Apartment,Entire home/apt,6,,200,2,8,110,95.0,42,9,0.15000000000000002
within an hour,7.0,t,Sant Martí,Apartment,Private room,3,,50,1,169,14,93.0,9,1,0.7
within an hour,520.0,t,Gràcia,Apartment,Entire home/apt,6,,75,1,235,43,93.0,11,1,0.9
within an hour,520.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,75,1,291,4,40.0,8,1,0.9
within an hour,1.0,t,Sant Martí,Apartment,Private room,2,,29,2,196,53,96.0,17,4,0.6
within an hour,2.0,t,Ciutat Vella,Other,Private room,2,,42,2,258,109,91.0,5,1,0.75
within an hour,4.0,t,Sarrià-Sant Gervasi,Serviced apartment,Entire home/apt,6,,500,1,152,0,,32,3,0.65
within a day,21.0,t,Ciutat Vella,Apartment,Entire home/apt,6,,46,31,0,0,,10,1,0.42500000000000004
within an hour,3.0,t,Sant Martí,Apartment,Private room,2,,25,2,86,57,87.0,18,4,0.55
within a few hours,24.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,70,29,313,1,100.0,17,1,0.8875
within an hour,1.0,t,Horta-Guinardó,Serviced apartment,Entire home/apt,8,,90,1,225,36,90.0,38,6,0.7
within a few hours,0.0,t,Gràcia,Apartment,Private room,2,,60,1,83,0,,17,1,0.3875
within a day,16.0,t,Eixample,Condominium,Entire home/apt,3,,45,32,64,8,85.0,28,3,0.525
within an hour,3.0,t,Ciutat Vella,Apartment,Private room,2,,40,3,59,10,84.0,15,1,0.55
within an hour,1.0,t,Sant Martí,Apartment,Private room,4,,125,3,323,12,93.0,24,2,0.8
within an hour,2.0,t,Eixample,Apartment,Entire home/apt,4,,99,5,297,138,97.0,30,0,0.75
,1.0,t,Gràcia,Apartment,Private room,1,,32,1,0,1,60.0,11,1,0.15000000000000002
within a few hours,24.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,61,32,354,3,67.0,10,1,0.8875
within an hour,2.0,t,Sant Andreu,Apartment,Private room,1,,16,3,0,2,90.0,7,1,0.45
within an hour,126.0,t,Sants-Montjuïc,Apartment,Entire home/apt,10,,399,3,161,5,80.0,17,2,0.8
within an hour,20.0,t,Eixample,Apartment,Entire home/apt,6,,80,1,91,129,92.0,45,5,0.65
,1.0,t,Eixample,Apartment,Private room,1,,22,1,0,2,100.0,11,1,0.15000000000000002
within an hour,22.0,t,Eixample,Apartment,Entire home/apt,4,,115,3,305,22,87.0,17,1,0.95
within an hour,38.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,4,,283,1,271,31,88.0,20,1,0.8500000000000001
within an hour,6.0,t,Eixample,Condominium,Entire home/apt,6,,95,2,246,2,100.0,25,1,0.8
within an hour,2.0,t,Eixample,Apartment,Private room,2,,54,4,17,235,97.0,26,5,0.45
within a few hours,101.0,t,Eixample,Apartment,Entire home/apt,4,,170,2,288,37,92.0,20,1,0.8375
within a day,15.0,t,Eixample,Apartment,Entire home/apt,2,,120,90,365,1,100.0,19,2,0.825
within a day,1.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,90,1,0,1,,9,2,0.275
within a few hours,0.0,t,Sant Andreu,Apartment,Private room,2,,27,2,0,1,100.0,13,2,0.2875
within an hour,149.0,t,Eixample,Apartment,Entire home/apt,5,,120,1,365,1,100.0,20,3,1.0
within an hour,131.0,t,Sant Martí,Apartment,Entire home/apt,5,,139,1,273,2,90.0,17,1,0.9
within an hour,36.0,t,Gràcia,Apartment,Entire home/apt,5,,81,1,162,36,79.0,14,1,0.75
within an hour,9.0,t,Eixample,Apartment,Entire home/apt,4,,295,3,299,34,96.0,23,0,0.8
,1.0,t,Gràcia,Serviced apartment,Private room,2,,50,2,0,23,88.0,20,4,0.15000000000000002
within a day,1.0,t,Eixample,House,Private room,2,,30,3,289,1,100.0,15,1,0.575
within a few hours,101.0,t,Eixample,Apartment,Entire home/apt,4,,100,2,275,43,81.0,18,2,0.8375
within an hour,5.0,t,Eixample,Apartment,Entire home/apt,4,,64,1,95,46,99.0,15,0,0.55
within a few hours,1.0,t,Ciutat Vella,Apartment,Private room,2,,60,30,131,0,,11,1,0.5375
within an hour,15.0,t,Ciutat Vella,Serviced apartment,Private room,6,,59,2,0,80,88.0,19,3,0.55
within an hour,2.0,t,Sants-Montjuïc,Apartment,Entire home/apt,2,484.0,65,5,119,6,97.0,26,0,0.65
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,20,4,83,16,81.0,15,2,0.5
within an hour,5.0,t,Ciutat Vella,Apartment,Entire home/apt,2,0.0,45,180,281,2,70.0,25,3,0.75
within a day,27.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,120,32,364,0,,17,1,0.825
within an hour,17.0,t,Eixample,Apartment,Entire home/apt,4,,118,3,274,0,,12,0,0.8500000000000001
within an hour,36.0,t,Sant Martí,Apartment,Entire home/apt,10,,166,1,138,54,92.0,15,1,0.75
within an hour,18.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,6,,159,1,318,41,92.0,25,2,0.95
within an hour,6.0,t,Eixample,Apartment,Private room,1,,40,1,347,55,88.0,30,3,0.9
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,80,1,317,1,100.0,6,1,0.8
within a few hours,1.0,t,Horta-Guinardó,Apartment,Private room,2,,35,3,33,1,100.0,6,1,0.3375
a few days or more,1.0,t,Sants-Montjuïc,Bed and breakfast,Private room,2,,250,1,365,0,,13,1,0.6125
within an hour,2.0,t,Eixample,Apartment,Private room,1,,33,2,12,127,95.0,20,2,0.45
within a day,77.0,t,Eixample,Serviced apartment,Private room,1,,25,32,364,0,,19,4,0.875
within an hour,206.0,t,Horta-Guinardó,Apartment,Entire home/apt,8,,400,3,255,22,91.0,26,2,0.9
a few days or more,1.0,t,Eixample,Apartment,Private room,1,,83,365,67,0,,7,1,0.3125
within a few hours,2.0,t,Gràcia,Bed and breakfast,Private room,1,,20,5,1,88,93.0,9,2,0.3875
,1.0,t,Eixample,Apartment,Private room,2,,52,3,0,138,98.0,30,5,0.15000000000000002
within a day,91.0,t,Gràcia,Apartment,Private room,1,,21,32,364,0,,22,2,0.875
within an hour,22.0,t,Sants-Montjuïc,Apartment,Entire home/apt,5,,300,1,356,1,80.0,18,2,0.95
within an hour,131.0,t,Eixample,Loft,Entire home/apt,3,,72,2,127,21,90.0,14,2,0.8
within a few hours,2.0,t,Eixample,Apartment,Private room,2,,40,3,62,31,90.0,5,1,0.48750000000000004
a few days or more,1.0,t,Ciutat Vella,Apartment,Entire home/apt,3,,110,31,75,0,,17,0,0.3125
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,16,2,206,80,92.0,14,2,0.7
,1.0,t,Ciutat Vella,Apartment,Private room,2,,35,2,0,36,94.0,16,3,0.15000000000000002
,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,45,2,0,0,,10,1,0.15000000000000002
,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,60,2,0,10,83.0,20,2,0.15000000000000002
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,1,,33,30,80,1,80.0,14,1,0.55
within an hour,38.0,t,Horta-Guinardó,Apartment,Entire home/apt,6,,125,2,317,5,88.0,7,2,0.95
within an hour,1.0,t,Eixample,Apartment,Private room,2,,55,4,187,20,100.0,32,3,0.6
within a few hours,1.0,t,Gràcia,Apartment,Private room,2,,45,2,341,45,96.0,21,4,0.7375
within an hour,1.0,t,Eixample,Apartment,Private room,2,,53,1,362,51,93.0,15,1,0.8
within an hour,9.0,t,Eixample,Apartment,Entire home/apt,4,,50,4,246,32,95.0,35,2,0.8
within an hour,5.0,t,Ciutat Vella,Apartment,Private room,6,,161,3,156,0,,11,2,0.65
,5.0,t,Eixample,Apartment,Private room,1,,30,3,0,13,84.0,20,2,0.2
within an hour,49.0,t,Sant Martí,Apartment,Entire home/apt,6,,84,1,339,2,,21,1,0.95
within an hour,1.0,t,Sant Martí,Apartment,Private room,1,,34,14,364,7,100.0,27,2,0.8
within an hour,7.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,47,1,158,10,80.0,8,1,0.7
,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,30,1,0,15,80.0,17,3,0.15000000000000002
within an hour,6.0,t,Sant Martí,Apartment,Entire home/apt,5,,80,3,267,12,93.0,31,3,0.8
within a few hours,10.0,t,Sants-Montjuïc,Apartment,Entire home/apt,6,,130,4,129,117,94.0,41,12,0.6375
within an hour,2.0,t,Gràcia,Apartment,Private room,2,,54,2,49,61,93.0,22,2,0.45
within a few hours,0.0,t,Eixample,Apartment,Private room,2,,40,3,80,0,,12,1,0.3875
within an hour,0.0,t,Ciutat Vella,Apartment,Private room,1,,150,2,358,0,,13,1,0.75
within an hour,2.0,t,Eixample,Apartment,Private room,4,,69,2,21,182,97.0,18,2,0.45
within an hour,30.0,t,Eixample,Apartment,Entire home/apt,4,,140,31,95,24,97.0,25,3,0.65
within a day,0.0,t,Gràcia,Apartment,Private room,2,,15,2,128,52,94.0,14,1,0.425
within an hour,2.0,t,Horta-Guinardó,Townhouse,Private room,2,,55,2,0,92,99.0,33,4,0.45
within an hour,4.0,t,Sants-Montjuïc,Apartment,Entire home/apt,8,1292.0,236,3,80,193,87.0,21,1,0.55
within an hour,520.0,t,Sant Martí,Apartment,Entire home/apt,5,,80,1,15,9,80.0,10,1,0.6
,1.0,t,Sant Martí,Apartment,Entire home/apt,5,,119,2,159,32,92.0,16,2,0.35
within a few hours,2.0,t,Ciutat Vella,Apartment,Private room,2,,50,5,242,109,87.0,20,6,0.6875
within a few hours,2.0,t,Horta-Guinardó,Apartment,Private room,2,,31,1,0,6,100.0,11,0,0.3875
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,45,1,11,1,100.0,9,1,0.4
within an hour,1.0,t,Ciutat Vella,Guest suite,Entire home/apt,2,,80,3,84,3,93.0,10,1,0.5
within a few hours,2.0,t,Eixample,Apartment,Private room,4,,18,31,311,2,100.0,13,2,0.7875
within a day,1.0,t,Eixample,Apartment,Private room,1,,35,2,190,137,93.0,15,5,0.475
within an hour,1.0,t,Eixample,Apartment,Private room,2,,45,2,333,21,96.0,22,1,0.8
,1.0,t,Sant Martí,Apartment,Private room,2,,24,2,0,43,98.0,35,8,0.15000000000000002
within a few hours,3.0,t,Ciutat Vella,Apartment,Private room,2,,50,3,333,2,80.0,7,1,0.7875
within an hour,1.0,t,Eixample,Apartment,Private room,2,,50,2,334,36,98.0,24,3,0.8
within a day,3.0,t,Gràcia,Apartment,Private room,2,,35,1,346,16,95.0,26,3,0.725
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,3,,66,1,314,91,86.0,24,12,0.8
within an hour,27.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,115,32,364,0,,13,1,0.95
within a day,3.0,t,Eixample,Apartment,Entire home/apt,2,,59,32,344,7,80.0,22,0,0.725
within an hour,2.0,t,Eixample,Apartment,Private room,2,,35,3,320,11,100.0,22,6,0.85
within an hour,4.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,60,3,121,201,82.0,26,2,0.65
within an hour,2.0,t,Gràcia,Apartment,Private room,2,,30,2,2,59,96.0,12,2,0.45
,1.0,t,Eixample,Apartment,Private room,2,,35,1,0,1,100.0,18,1,0.15000000000000002
a few days or more,2.0,t,Sant Andreu,Apartment,Private room,3,,90,3,365,0,,14,2,0.6625
within an hour,39.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,70,3,160,2,90.0,12,1,0.75
within an hour,4.0,t,Gràcia,Apartment,Private room,2,,28,5,324,22,90.0,20,5,0.85
within a day,3.0,t,Eixample,Apartment,Entire home/apt,4,,235,1,340,0,,19,2,0.725
within a day,91.0,t,Gràcia,Apartment,Private room,1,,28,32,344,0,,20,2,0.875
within a few hours,3.0,t,Sant Martí,Apartment,Private room,2,,35,3,73,16,83.0,10,1,0.48750000000000004
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,4,,65,3,230,303,95.0,15,1,0.7
within an hour,2.0,t,Sants-Montjuïc,Condominium,Private room,2,,59,1,271,0,,21,1,0.75
,1.0,t,Gràcia,Apartment,Private room,1,,25,1,0,0,,8,1,0.15000000000000002
,1.0,f,Sants-Montjuïc,Apartment,Entire home/apt,2,,90,30,365,0,,13,1,0.55
within a day,10.0,t,Eixample,Loft,Entire home/apt,2,,52,32,136,0,,18,0,0.575
within a day,1.0,t,Ciutat Vella,Apartment,Private room,2,,50,2,0,8,92.0,16,2,0.275
within an hour,6.0,t,Ciutat Vella,Apartment,Private room,2,,250,2,241,52,94.0,12,1,0.8
within an hour,38.0,t,Eixample,Apartment,Entire home/apt,8,,170,1,219,46,96.0,28,2,0.8500000000000001
within a few hours,3.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,31,31,177,23,98.0,22,1,0.5875
within an hour,3.0,t,Eixample,Apartment,Private room,2,,65,1,57,1,100.0,15,1,0.55
within an hour,27.0,t,Eixample,Apartment,Entire home/apt,5,,115,3,159,38,92.0,51,13,0.75
within an hour,1.0,t,Nou Barris,Apartment,Shared room,2,,30,1,351,3,,11,2,0.8
within an hour,2.0,t,Sant Martí,Apartment,Private room,2,,70,3,318,79,98.0,22,5,0.85
within an hour,55.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,95,31,364,0,,19,1,1.0
within a day,1.0,t,Ciutat Vella,Apartment,Private room,1,,56,2,12,7,91.0,14,0,0.275
within an hour,45.0,t,Eixample,Apartment,Entire home/apt,4,,110,3,258,47,86.0,31,3,0.8500000000000001
within a few hours,13.0,t,Eixample,Apartment,Entire home/apt,6,,50,32,146,0,,29,2,0.6875
within an hour,3.0,t,Ciutat Vella,Casa particular (Cuba),Private room,3,,134,1,147,10,87.0,14,0,0.65
within an hour,1.0,t,Sant Martí,Loft,Private room,3,,60,3,287,55,99.0,46,15,0.7
within an hour,34.0,t,Sant Martí,Apartment,Entire home/apt,4,,138,1,106,22,90.0,33,4,0.75
within a day,1.0,t,Ciutat Vella,Apartment,Private room,2,,60,3,9,8,98.0,9,1,0.275
a few days or more,8.0,t,Sants-Montjuïc,Apartment,Entire home/apt,8,,250,1,339,0,,5,3,0.7125
within a day,2.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,55,32,347,5,100.0,30,6,0.725
within a few hours,6.0,t,Eixample,Apartment,Entire home/apt,12,,275,4,224,215,91.0,35,2,0.7375
within an hour,7.0,t,Ciutat Vella,Apartment,Entire home/apt,6,,375,2,351,43,91.0,23,3,0.9
,2.0,t,Horta-Guinardó,Apartment,Shared room,1,,760,1,0,0,,1,1,0.2
within an hour,116.0,t,Gràcia,Apartment,Entire home/apt,8,,84,1,73,0,,20,2,0.7
within a few hours,2.0,t,Ciutat Vella,Apartment,Private room,2,,33,2,16,130,91.0,28,6,0.3875
within an hour,9.0,t,Ciutat Vella,Apartment,Entire home/apt,7,,80,4,184,32,95.0,46,12,0.7
within an hour,38.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,484,1,254,34,89.0,21,1,0.8500000000000001
within an hour,42.0,t,Eixample,Apartment,Entire home/apt,6,,105,3,212,0,,9,1,0.8500000000000001
within a few hours,4.0,t,Eixample,Apartment,Private room,2,,27,30,175,0,,11,1,0.5875
,1.0,t,Sant Martí,Apartment,Entire home/apt,4,,80,3,0,53,95.0,10,1,0.15000000000000002
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,65,3,229,23,99.0,16,2,0.7
within a day,1.0,t,Horta-Guinardó,Serviced apartment,Private room,1,,35,2,89,0,,10,1,0.375
within a few hours,8.0,t,Eixample,Apartment,Entire home/apt,5,,150,3,299,4,90.0,17,0,0.7375
,2.0,t,Eixample,Apartment,Private room,2,,79,2,0,2,90.0,13,2,0.2
,1.0,t,Ciutat Vella,Apartment,Private room,2,,23,7,0,2,,11,1,0.15000000000000002
within an hour,36.0,t,Ciutat Vella,Apartment,Entire home/apt,10,,166,1,136,31,93.0,22,3,0.75
within an hour,3.0,t,Eixample,Apartment,Private room,2,,37,3,107,172,92.0,22,3,0.65
within an hour,7.0,t,Gràcia,Hostel,Private room,2,,500,1,355,0,,19,3,0.9
a few days or more,1.0,t,Sant Martí,House,Private room,2,,25,4,190,11,98.0,9,2,0.4125
within a day,1.0,t,Gràcia,Apartment,Private room,2,,55,2,78,53,100.0,51,17,0.375
within a few hours,14.0,t,Sants-Montjuïc,Hostel,Private room,2,,109,1,320,0,,12,2,0.8875
within a day,1.0,t,Eixample,Apartment,Private room,2,,40,2,254,3,100.0,12,1,0.575
within a day,1.0,t,Sant Martí,Apartment,Private room,2,,40,3,2,10,100.0,14,2,0.275
within a day,2.0,t,Ciutat Vella,House,Entire home/apt,4,,150,1,360,0,,28,1,0.725
within a day,3.0,t,Ciutat Vella,Apartment,Private room,2,,52,3,158,65,97.0,19,6,0.525
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,32,3,62,1,100.0,28,1,0.5
within an hour,1.0,t,Eixample,Apartment,Private room,4,,50,1,24,29,97.0,13,1,0.4
within a few hours,1.0,t,Gràcia,Apartment,Entire home/apt,2,,65,30,66,1,100.0,13,1,0.4375
within an hour,12.0,t,Eixample,Apartment,Entire home/apt,4,,135,3,119,224,96.0,24,2,0.75
within an hour,37.0,t,Ciutat Vella,Apartment,Entire home/apt,5,,56,88,349,26,90.0,16,0,0.95
within an hour,15.0,t,Sant Martí,Apartment,Entire home/apt,5,,80,32,303,0,,26,1,0.95
,1.0,t,Ciutat Vella,Apartment,Private room,1,,30,1,0,0,,10,1,0.15000000000000002
within a few hours,13.0,t,Eixample,Apartment,Entire home/apt,4,,35,31,347,2,90.0,25,0,0.8875
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,4,,59,4,276,272,94.0,22,3,0.7
within an hour,1.0,t,Sant Martí,Apartment,Private room,2,,30,2,6,31,100.0,20,1,0.4
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,25,1,322,125,90.0,17,2,0.85
within a day,5.0,t,Eixample,Apartment,Private room,2,,120,1,166,0,,10,1,0.525
within an hour,111.0,t,Eixample,Apartment,Entire home/apt,4,,276,3,186,72,92.0,30,3,0.8
within an hour,0.0,t,Ciutat Vella,Apartment,Private room,2,,58,1,54,5,92.0,13,2,0.45
within an hour,3.0,t,Sant Martí,Apartment,Entire home/apt,4,,90,2,266,121,86.0,27,5,0.75
within a few hours,1.0,t,Ciutat Vella,Apartment,Private room,2,,40,5,31,0,,9,1,0.3375
within a few hours,8.0,t,Sants-Montjuïc,Apartment,Entire home/apt,6,,120,3,289,9,80.0,21,1,0.7375
within a few hours,4.0,t,Ciutat Vella,Serviced apartment,Entire home/apt,8,,500,1,136,2,90.0,30,2,0.5875
within a few hours,7.0,t,Eixample,Loft,Entire home/apt,2,,52,32,136,0,,12,1,0.6375
within an hour,55.0,t,Les Corts,Apartment,Entire home/apt,5,,85,2,222,16,92.0,14,1,0.9
within a few hours,8.0,t,Eixample,Apartment,Private room,2,,40,2,32,5,100.0,30,2,0.4375
,1.0,t,Sant Martí,Apartment,Private room,2,,24,2,0,0,,7,1,0.15000000000000002
within an hour,10.0,t,Les Corts,Apartment,Entire home/apt,6,,140,3,16,8,95.0,21,0,0.5
within a few hours,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,50,3,19,52,94.0,23,4,0.3375
within an hour,6.0,t,Eixample,Loft,Private room,2,,40,32,344,0,,16,1,0.9
,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,1,,21,2,0,22,97.0,28,13,0.15000000000000002
within an hour,12.0,t,Eixample,Hostel,Private room,4,,120,1,355,28,78.0,23,7,0.95
within a few hours,2.0,t,Sants-Montjuïc,Apartment,Private room,2,,40,1,130,74,87.0,24,3,0.5875
,1.0,t,Sarrià-Sant Gervasi,House,Private room,3,,53,1,0,2,80.0,18,1,0.15000000000000002
within an hour,4.0,t,Ciutat Vella,Apartment,Private room,4,,80,3,6,0,,11,1,0.45
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,1,,25,2,16,73,92.0,11,2,0.45
within an hour,7.0,t,Eixample,Hostel,Private room,1,,90,1,360,2,100.0,5,1,0.9
within an hour,1.0,t,Sants-Montjuïc,Apartment,Entire home/apt,3,,80,3,264,107,89.0,31,6,0.7
within an hour,3.0,t,Eixample,Apartment,Private room,5,,130,2,74,0,,17,3,0.55
within a few hours,1.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,47,32,363,4,100.0,28,4,0.7375
within an hour,9.0,t,Ciutat Vella,Apartment,Private room,2,,45,1,136,3,100.0,26,2,0.7
