host_response_time,host_listings_count,host_has_profile_pic,neighbourhood,property_type,room_type,accommodates,square_feet,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,amenities_count,amenities_premium_count,professionalism
within an hour,17.0,t,Eixample,Apartment,Entire home/apt,5,,71,3,301,0,,13,1,0.95
,1.0,t,Eixample,Apartment,Private room,1,,15,1,0,0,,1,1,0.15000000000000002
within an hour,126.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,95,3,268,3,100.0,9,1,0.9
within an hour,8.0,t,Eixample,Apartment,Entire home/apt,4,,125,31,0,5,96.0,20,0,0.5
within an hour,7.0,t,Sant Andreu,Apartment,Private room,3,,28,1,351,4,85.0,6,1,0.9
within an hour,116.0,t,Gràcia,Apartment,Entire home/apt,10,,110,1,318,7,80.0,32,4,1.0
within a few hours,15.0,t,Eixample,Apartment,Entire home/apt,6,,140,32,245,0,,12,1,0.7875000000000001
within an hour,131.0,t,Sant Martí,Apartment,Entire home/apt,5,,139,1,290,2,100.0,19,1,0.9
within a day,29.0,t,Sant Martí,Serviced apartment,Entire home/apt,6,,135,2,68,21,91.0,26,1,0.525
within an hour,3.0,t,Ciutat Vella,Apartment,Private room,2,,44,1,91,65,96.0,32,3,0.55
,1.0,t,Eixample,Loft,Entire home/apt,4,,140,2,0,2,100.0,12,2,0.15000000000000002
within an hour,4.0,t,Eixample,Apartment,Private room,2,,30,2,321,126,92.0,19,3,0.85
,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,27,3,0,23,97.0,17,3,0.15000000000000002
within an hour,5.0,t,Gràcia,Apartment,Entire home/apt,5,,120,3,328,103,86.0,22,0,0.85
within a few hours,3.0,t,Eixample,Apartment,Private room,1,,22,5,84,4,100.0,15,2,0.48750000000000004
within an hour,2.0,t,Gràcia,Apartment,Private room,3,,42,2,178,126,92.0,20,3,0.65
,5.0,t,Sarrià-Sant Gervasi,Apartment,Private room,1,,29,1,0,0,,16,5,0.2
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,1,,38,2,133,26,98.0,21,4,0.6
within a day,16.0,t,Eixample,Townhouse,Entire home/apt,10,,399,2,303,159,96.0,41,7,0.825
within a day,71.0,t,Eixample,Apartment,Entire home/apt,6,538.0,85,1,0,60,98.0,30,1,0.475
